trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
48,LONG,2025-06-09 07:00:00+00:00,2025-06-10 02:00:00+00:00,3342.86,3325.0,0.5982900869315496,REVERSE_SIGNAL,-10.685460952597552,1.3962600886665908,-12.081721041264142
49,SHORT,2025-06-10 02:00:00+00:00,2025-06-10 11:00:00+00:00,3325.0,3349.21,0.6015037593984962,REVERSE_SIGNAL,-14.562406015037615,1.4050968421052632,-15.967502857142879
50,LONG,2025-06-10 11:00:00+00:00,2025-06-16 03:00:00+00:00,3349.21,3464.41,0.5971557471761998,REVERSE_SIGNAL,68.79234207469811,1.4240773197261445,67.36826475497197
51,SHORT,2025-06-16 03:00:00+00:00,2025-06-20 22:00:00+00:00,3464.41,3394.19,0.5772988762877374,REVERSE_SIGNAL,40.537927092924804,1.3858117255174762,39.152115367407326
52,LONG,2025-06-20 22:00:00+00:00,2025-06-22 23:00:00+00:00,3394.19,3412.54,0.5892422050621797,REVERSE_SIGNAL,10.812594462890944,1.4037844080620119,9.408810054828932
53,SHORT,2025-06-22 23:00:00+00:00,2025-06-26 00:00:00+00:00,3412.54,3352.32,0.5860737163520428,REVERSE_SIGNAL,35.2933591987199,1.387647324280448,33.90571187443945
54,LONG,2025-06-26 00:00:00+00:00,2025-06-26 13:00:00+00:00,3352.32,3335.18,0.5966017563955708,REVERSE_SIGNAL,-10.225754104620279,1.396420986063383,-11.622175090683662
55,SHORT,2025-06-26 13:00:00+00:00,2025-06-30 03:00:00+00:00,3335.18,3291.19,0.5996677840476377,REVERSE_SIGNAL,26.37938582025545,1.3907672149629107,24.98861860529254
56,LONG,2025-06-30 03:00:00+00:00,2025-07-02 07:00:00+00:00,3291.19,3337.12,0.607682935351651,REVERSE_SIGNAL,27.91087722070123,1.4097688070272454,26.501108413673986
57,SHORT,2025-07-02 07:00:00+00:00,2025-07-02 20:00:00+00:00,3337.12,3359.27,0.599319173418996,REVERSE_SIGNAL,-13.274919691230815,1.404646221891931,-14.679565913122746
