trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,gross_pnl,fee_usd,net_pnl
66,LONG,2025-07-16 17:00:00+00:00,2025-07-17 12:00:00+00:00,3354.11,3327.27712,0.5962833657810864,HARD_SL,-15.999999999999957,1.3944,-17.39439999999996
67,SHORT,2025-07-17 13:00:00+00:00,2025-07-18 07:00:00+00:00,3323.0,3349.584,0.6018657839301835,HARD_SL,-15.999999999999899,1.4056,-17.4055999999999
68,LONG,2025-07-18 08:00:00+00:00,2025-07-20 10:00:00+00:00,3350.64,3354.34,0.5969008905761287,REVERSE_SIGNAL,2.208533295131839,1.400772986653296,0.807760308478543
69,SHORT,2025-07-20 10:00:00+00:00,2025-07-21 02:00:00+00:00,3354.34,3361.55,0.5962424798917223,REVERSE_SIGNAL,-4.298908280019339,1.4015046178980068,-5.700412897917346
70,LONG,2025-07-21 02:00:00+00:00,2025-07-23 14:00:00+00:00,3361.55,3413.16,0.5949636328479422,REVERSE_SIGNAL,30.7060730912821,1.4107471255819488,29.29532596570015
71,SHORT,2025-07-23 14:00:00+00:00,2025-07-31 09:00:00+00:00,3413.16,3316.15,0.5859672561497263,REVERSE_SIGNAL,56.84468351908481,1.38010436076832,55.46457915831649
72,LONG,2025-07-31 09:00:00+00:00,2025-08-01 01:00:00+00:00,3316.15,3289.6208,0.6031090270343621,HARD_SL,-15.999999999999966,1.3944,-17.394399999999965
73,SHORT,2025-08-01 02:00:00+00:00,2025-08-01 12:00:00+00:00,3289.94,3316.25952,0.6079138221365739,HARD_SL,-16.000000000000004,1.4056,-17.405600000000003
74,LONG,2025-08-01 13:00:00+00:00,2025-08-04 01:00:00+00:00,3341.0,3352.48,0.5986231667165519,REVERSE_SIGNAL,6.872193953906027,1.402405267883867,5.46978868602216
75,SHORT,2025-08-04 01:00:00+00:00,2025-08-04 12:00:00+00:00,3352.48,3370.69,0.5965732830620913,REVERSE_SIGNAL,-10.863599484560705,1.4038022598195963,-12.267401744380301
76,LONG,2025-08-04 12:00:00+00:00,2025-08-05 10:00:00+00:00,3370.69,3360.54,0.5933503229309133,REVERSE_SIGNAL,-6.022505777748823,1.3978921229777879,-7.420397900726611
77,SHORT,2025-08-05 10:00:00+00:00,2025-08-05 14:00:00+00:00,3360.54,3373.4,0.595142447344772,REVERSE_SIGNAL,-7.6535318728538435,1.4026787361554989,-9.056210609009343
78,LONG,2025-08-05 14:00:00+00:00,2025-08-06 10:00:00+00:00,3373.4,3361.79,0.5928736586233474,REVERSE_SIGNAL,-6.883263176617139,1.397590857888184,-8.280854034505323
79,SHORT,2025-08-06 10:00:00+00:00,2025-08-07 02:00:00+00:00,3361.79,3381.72,0.5949211580735263,REVERSE_SIGNAL,-11.856778680405283,1.4041498725381418,-13.260928552943424
80,LONG,2025-08-07 02:00:00+00:00,2025-08-11 00:00:00+00:00,3381.72,3381.76,0.5914150195758372,REVERSE_SIGNAL,0.023656600783280916,1.4000082798102742,-1.3763516790269932
81,SHORT,2025-08-11 00:00:00+00:00,2025-08-14 01:00:00+00:00,3381.76,3357.7,0.5914080242240727,REVERSE_SIGNAL,14.229277062831425,1.395019753028009,12.834257309803416
82,LONG,2025-08-14 01:00:00+00:00,2025-08-14 08:00:00+00:00,3357.7,3340.46,0.5956458289900826,REVERSE_SIGNAL,-10.268934091788893,1.396405873067874,-11.665339964856766
83,SHORT,2025-08-14 08:00:00+00:00,2025-08-17 05:00:00+00:00,3340.46,3331.78,0.5987199367751747,REVERSE_SIGNAL,5.196889051208418,1.398181088832077,3.7987079623763407
84,LONG,2025-08-17 05:00:00+00:00,2025-08-18 00:00:00+00:00,3331.78,3322.47,0.6002797303543451,REVERSE_SIGNAL,-5.588604289599194,1.3980439884986404,-6.986648278097834
85,SHORT,2025-08-18 00:00:00+00:00,2025-08-18 01:00:00+00:00,3322.47,3333.77,0.6019617934849676,REVERSE_SIGNAL,-6.802168266380243,1.402380758893233,-8.204549025273476
86,LONG,2025-08-18 01:00:00+00:00,2025-08-18 18:00:00+00:00,3333.77,3328.8,0.5999214102952514,REVERSE_SIGNAL,-2.9816094091672793,1.3989564367067915,-4.380565845874071
87,SHORT,2025-08-18 18:00:00+00:00,2025-08-20 12:00:00+00:00,3328.8,3322.79,0.600817111271329,REVERSE_SIGNAL,3.610910838740818,1.3987361812064407,2.2121746575343773
88,LONG,2025-08-20 12:00:00+00:00,2025-08-21 11:00:00+00:00,3322.79,3322.84,0.6019038217883165,REVERSE_SIGNAL,0.030095191089525308,1.4000105333168813,-1.369915342227356
89,SHORT,2025-08-21 11:00:00+00:00,2025-08-22 14:00:00+00:00,3322.84,3349.42272,0.6018947647193365,HARD_SL,-15.999999999999927,1.4056,-17.40559999999993
90,LONG,2025-08-22 15:00:00+00:00,2025-08-24 21:00:00+00:00,3358.92,3355.78,0.5954294832862944,REVERSE_SIGNAL,-1.8696485775188887,1.3993456229978682,-3.268994200516757
91,SHORT,2025-08-24 21:00:00+00:00,2025-08-26 01:00:00+00:00,3355.78,3365.39,0.5959866260601112,REVERSE_SIGNAL,-5.727431476437474,1.4020046010167533,-7.129436077454227
92,LONG,2025-08-26 01:00:00+00:00,2025-09-02 08:00:00+00:00,3365.39,3492.02,0.5942847634300928,REVERSE_SIGNAL,75.25427959315272,1.4263389978576033,73.82794059529512
93,SHORT,2025-09-02 08:00:00+00:00,2025-09-02 14:00:00+00:00,3492.02,3519.95616,0.5727344058739641,HARD_SL,-16.000000000000114,1.4056,-17.405600000000113
94,LONG,2025-09-02 16:00:00+00:00,2025-09-04 03:00:00+00:00,3533.42,3542.92,0.5660238522451336,REVERSE_SIGNAL,5.37722659632877,1.401882029308715,3.9753445670200547
95,SHORT,2025-09-04 03:00:00+00:00,2025-09-05 12:00:00+00:00,3542.92,3571.26336,0.5645061136012103,HARD_SL,-15.999999999999913,1.4056,-17.405599999999914
96,LONG,2025-09-05 13:00:00+00:00,2025-09-08 02:00:00+00:00,3579.89,3598.4,0.5586763839112375,REVERSE_SIGNAL,10.341099866197128,1.403619384953169,8.93748048124396
97,SHORT,2025-09-08 02:00:00+00:00,2025-09-08 08:00:00+00:00,3598.4,3618.6,0.5558025789239662,REVERSE_SIGNAL,-11.227212094264017,1.4039295242329926,-12.63114161849701
98,LONG,2025-09-08 08:00:00+00:00,2025-09-09 21:00:00+00:00,3618.6,3637.55,0.5526999392030068,REVERSE_SIGNAL,10.473663847897129,1.403665782346764,9.069998065550365
99,SHORT,2025-09-09 21:00:00+00:00,2025-09-12 03:00:00+00:00,3637.55,3644.0,0.5498206210223914,REVERSE_SIGNAL,-3.5463430055943244,1.401241220051958,-4.947584225646282
100,LONG,2025-09-12 03:00:00+00:00,2025-09-13 02:00:00+00:00,3644.0,3630.22,0.5488474204171241,REVERSE_SIGNAL,-7.56311745334808,1.3973529088913281,-8.960470362239409
101,SHORT,2025-09-13 02:00:00+00:00,2025-09-14 06:00:00+00:00,3630.22,3646.94,0.5509307975825157,REVERSE_SIGNAL,-9.211562935579803,1.4032240470274528,-10.614786982607257
102,LONG,2025-09-14 06:00:00+00:00,2025-09-15 00:00:00+00:00,3646.94,3642.44,0.5484049641617356,REVERSE_SIGNAL,-2.46782233872781,1.3991362621814452,-3.866958600909255
103,SHORT,2025-09-15 00:00:00+00:00,2025-09-15 13:00:00+00:00,3642.44,3656.66,0.5490824831706219,REVERSE_SIGNAL,-7.807952910686134,1.4027327835187402,-9.210685694204875
104,LONG,2025-09-15 13:00:00+00:00,2025-09-17 08:00:00+00:00,3656.66,3677.27,0.5469472141243649,REVERSE_SIGNAL,11.272582083103229,1.403945403729086,9.868636679374143
105,SHORT,2025-09-17 08:00:00+00:00,2025-09-17 18:00:00+00:00,3677.27,3706.68816,0.5438817383548121,HARD_SL,-16.000000000000092,1.4056,-17.405600000000092
106,LONG,2025-09-19 15:00:00+00:00,2025-09-24 15:00:00+00:00,3669.88,3758.8,0.5449769474751218,REVERSE_SIGNAL,48.45935016948787,1.4169607725593207,47.04238939692855
107,SHORT,2025-09-24 15:00:00+00:00,2025-09-26 14:00:00+00:00,3758.8,3769.85,0.5320847078854953,REVERSE_SIGNAL,-5.8795360221345785,1.402057837607747,-7.281593859742325
108,LONG,2025-09-26 14:00:00+00:00,2025-09-28 21:00:00+00:00,3769.85,3766.0,0.5305250872050612,REVERSE_SIGNAL,-2.042521585739437,1.3992851174449912,-3.4418067031844286
109,SHORT,2025-09-28 21:00:00+00:00,2025-09-28 23:00:00+00:00,3766.0,3776.05,0.5310674455655868,REVERSE_SIGNAL,-5.337227827934244,1.4018680297397768,-6.739095857674021
110,LONG,2025-09-28 23:00:00+00:00,2025-09-30 09:00:00+00:00,3776.05,3828.01,0.529654003522199,REVERSE_SIGNAL,27.520822023013483,1.4096322877080547,26.11118973530543
111,SHORT,2025-09-30 09:00:00+00:00,2025-09-30 14:00:00+00:00,3828.01,3858.6340800000003,0.5224646748571712,HARD_SL,-16.000000000000025,1.4056,-17.405600000000025
112,LONG,2025-09-30 20:00:00+00:00,2025-10-02 14:00:00+00:00,3868.55,3837.6016,0.5169895697354305,HARD_SL,-16.00000000000011,1.3944,-17.39440000000011
