trade_no,side,entry_time,exit_time,entry_price,exit_price,quantity,exit_reason,votes_for,votes_total,gross_pnl,fee_usd,net_pnl
57,LONG,2025-07-02 20:00:00+00:00,2025-07-03 13:00:00+00:00,3359.27,3328.5,0.595367,REVERSE_SIGNAL,3,3,-18.3195,1.3936,-19.713
58,SHORT,2025-07-03 13:00:00+00:00,2025-07-06 09:00:00+00:00,3328.5,3346.81,0.600871,REVERSE_SIGNAL,3,3,-11.002,1.4039,-12.4058
59,LONG,2025-07-06 09:00:00+00:00,2025-07-06 16:00:00+00:00,3346.81,3339.64,0.597584,REVERSE_SIGNAL,2,3,-4.2847,1.3985,-5.6832
60,SHORT,2025-07-06 16:00:00+00:00,2025-07-07 18:00:00+00:00,3339.64,3336.2,0.598867,REVERSE_SIGNAL,3,3,2.0601,1.3993,0.6608
61,LONG,2025-07-07 18:00:00+00:00,2025-07-08 14:00:00+00:00,3336.2,3318.82,0.599484,REVERSE_SIGNAL,2,3,-10.419,1.3964,-11.8154
62,SHORT,2025-07-08 14:00:00+00:00,2025-07-09 15:00:00+00:00,3318.82,3316.99,0.602624,REVERSE_SIGNAL,3,3,1.1028,1.3996,-0.2968
63,LONG,2025-07-09 15:00:00+00:00,2025-07-15 16:00:00+00:00,3316.99,3337.31,0.602956,REVERSE_SIGNAL,2,3,12.2521,1.4043,10.8478
64,SHORT,2025-07-15 16:00:00+00:00,2025-07-16 17:00:00+00:00,3337.31,3354.11,0.599285,REVERSE_SIGNAL,3,3,-10.068,1.4035,-11.4715
65,LONG,2025-07-16 17:00:00+00:00,2025-07-17 13:00:00+00:00,3354.11,3323.0,0.596283,REVERSE_SIGNAL,3,3,-18.5504,1.3935,-19.9439
66,SHORT,2025-07-17 13:00:00+00:00,2025-07-18 08:00:00+00:00,3323.0,3350.64,0.601866,REVERSE_SIGNAL,3,3,-16.6356,1.4058,-18.0414
67,LONG,2025-07-18 08:00:00+00:00,2025-07-20 10:00:00+00:00,3350.64,3354.34,0.596901,REVERSE_SIGNAL,3,3,2.2085,1.4008,0.8078
68,SHORT,2025-07-20 10:00:00+00:00,2025-07-21 02:00:00+00:00,3354.34,3361.55,0.596242,REVERSE_SIGNAL,3,3,-4.2989,1.4015,-5.7004
69,LONG,2025-07-21 02:00:00+00:00,2025-07-23 14:00:00+00:00,3361.55,3413.16,0.594964,REVERSE_SIGNAL,3,3,30.7061,1.4107,29.2953
70,SHORT,2025-07-23 14:00:00+00:00,2025-07-31 09:00:00+00:00,3413.16,3316.15,0.585967,REVERSE_SIGNAL,3,3,56.8447,1.3801,55.4646
71,LONG,2025-07-31 09:00:00+00:00,2025-08-01 02:00:00+00:00,3316.15,3289.94,0.603109,REVERSE_SIGNAL,2,3,-15.8075,1.3945,-17.202
72,SHORT,2025-08-01 02:00:00+00:00,2025-08-01 13:00:00+00:00,3289.94,3341.0,0.607914,REVERSE_SIGNAL,3,3,-31.0401,1.4109,-32.4509
73,LONG,2025-08-01 13:00:00+00:00,2025-08-04 01:00:00+00:00,3341.0,3352.48,0.598623,REVERSE_SIGNAL,3,3,6.8722,1.4024,5.4698
74,SHORT,2025-08-04 01:00:00+00:00,2025-08-04 12:00:00+00:00,3352.48,3370.69,0.596573,REVERSE_SIGNAL,2,3,-10.8636,1.4038,-12.2674
75,LONG,2025-08-04 12:00:00+00:00,2025-08-05 10:00:00+00:00,3370.69,3360.54,0.59335,REVERSE_SIGNAL,2,3,-6.0225,1.3979,-7.4204
76,SHORT,2025-08-05 10:00:00+00:00,2025-08-05 14:00:00+00:00,3360.54,3373.4,0.595142,REVERSE_SIGNAL,3,3,-7.6535,1.4027,-9.0562
77,LONG,2025-08-05 14:00:00+00:00,2025-08-06 10:00:00+00:00,3373.4,3361.79,0.592874,REVERSE_SIGNAL,2,3,-6.8833,1.3976,-8.2809
78,SHORT,2025-08-06 10:00:00+00:00,2025-08-07 02:00:00+00:00,3361.79,3381.72,0.594921,REVERSE_SIGNAL,3,3,-11.8568,1.4041,-13.2609
79,LONG,2025-08-07 02:00:00+00:00,2025-08-11 00:00:00+00:00,3381.72,3381.76,0.591415,REVERSE_SIGNAL,3,3,0.0237,1.4,-1.3764
80,SHORT,2025-08-11 00:00:00+00:00,2025-08-14 01:00:00+00:00,3381.76,3357.7,0.591408,REVERSE_SIGNAL,2,3,14.2293,1.395,12.8343
81,LONG,2025-08-14 01:00:00+00:00,2025-08-14 08:00:00+00:00,3357.7,3340.46,0.595646,REVERSE_SIGNAL,3,3,-10.2689,1.3964,-11.6653
82,SHORT,2025-08-14 08:00:00+00:00,2025-08-17 05:00:00+00:00,3340.46,3331.78,0.59872,REVERSE_SIGNAL,2,3,5.1969,1.3982,3.7987
83,LONG,2025-08-17 05:00:00+00:00,2025-08-18 00:00:00+00:00,3331.78,3322.47,0.60028,REVERSE_SIGNAL,3,3,-5.5886,1.398,-6.9866
84,SHORT,2025-08-18 00:00:00+00:00,2025-08-18 01:00:00+00:00,3322.47,3333.77,0.601962,REVERSE_SIGNAL,3,3,-6.8022,1.4024,-8.2045
85,LONG,2025-08-18 01:00:00+00:00,2025-08-18 18:00:00+00:00,3333.77,3328.8,0.599921,REVERSE_SIGNAL,3,3,-2.9816,1.399,-4.3806
86,SHORT,2025-08-18 18:00:00+00:00,2025-08-20 12:00:00+00:00,3328.8,3322.79,0.600817,REVERSE_SIGNAL,2,3,3.6109,1.3987,2.2122
87,LONG,2025-08-20 12:00:00+00:00,2025-08-21 11:00:00+00:00,3322.79,3322.84,0.601904,REVERSE_SIGNAL,3,3,0.0301,1.4,-1.3699
88,SHORT,2025-08-21 11:00:00+00:00,2025-08-22 15:00:00+00:00,3322.84,3358.92,0.601895,REVERSE_SIGNAL,3,3,-21.7164,1.4076,-23.124
89,LONG,2025-08-22 15:00:00+00:00,2025-08-24 21:00:00+00:00,3358.92,3355.78,0.595429,REVERSE_SIGNAL,3,3,-1.8696,1.3993,-3.269
90,SHORT,2025-08-24 21:00:00+00:00,2025-08-26 01:00:00+00:00,3355.78,3365.39,0.595987,REVERSE_SIGNAL,2,3,-5.7274,1.402,-7.1294
91,LONG,2025-08-26 01:00:00+00:00,2025-09-02 08:00:00+00:00,3365.39,3492.02,0.594285,REVERSE_SIGNAL,2,3,75.2543,1.4263,73.8279
92,SHORT,2025-09-02 08:00:00+00:00,2025-09-02 16:00:00+00:00,3492.02,3533.42,0.572734,REVERSE_SIGNAL,2,3,-23.7112,1.4083,-25.1195
93,LONG,2025-09-02 16:00:00+00:00,2025-09-04 03:00:00+00:00,3533.42,3542.92,0.566024,REVERSE_SIGNAL,3,3,5.3772,1.4019,3.9753
94,SHORT,2025-09-04 03:00:00+00:00,2025-09-05 13:00:00+00:00,3542.92,3579.89,0.564506,REVERSE_SIGNAL,3,3,-20.8698,1.4073,-22.2771
95,LONG,2025-09-05 13:00:00+00:00,2025-09-08 02:00:00+00:00,3579.89,3598.4,0.558676,REVERSE_SIGNAL,3,3,10.3411,1.4036,8.9375
96,SHORT,2025-09-08 02:00:00+00:00,2025-09-08 08:00:00+00:00,3598.4,3618.6,0.555803,REVERSE_SIGNAL,3,3,-11.2272,1.4039,-12.6311
97,LONG,2025-09-08 08:00:00+00:00,2025-09-09 21:00:00+00:00,3618.6,3637.55,0.5527,REVERSE_SIGNAL,2,3,10.4737,1.4037,9.07
98,SHORT,2025-09-09 21:00:00+00:00,2025-09-12 03:00:00+00:00,3637.55,3644.0,0.549821,REVERSE_SIGNAL,3,3,-3.5463,1.4012,-4.9476
99,LONG,2025-09-12 03:00:00+00:00,2025-09-13 02:00:00+00:00,3644.0,3630.22,0.548847,REVERSE_SIGNAL,3,3,-7.5631,1.3974,-8.9605
100,SHORT,2025-09-13 02:00:00+00:00,2025-09-14 06:00:00+00:00,3630.22,3646.94,0.550931,REVERSE_SIGNAL,3,3,-9.2116,1.4032,-10.6148
101,LONG,2025-09-14 06:00:00+00:00,2025-09-15 00:00:00+00:00,3646.94,3642.44,0.548405,REVERSE_SIGNAL,3,3,-2.4678,1.3991,-3.867
102,SHORT,2025-09-15 00:00:00+00:00,2025-09-15 13:00:00+00:00,3642.44,3656.66,0.549082,REVERSE_SIGNAL,2,3,-7.808,1.4027,-9.2107
103,LONG,2025-09-15 13:00:00+00:00,2025-09-17 08:00:00+00:00,3656.66,3677.27,0.546947,REVERSE_SIGNAL,3,3,11.2726,1.4039,9.8686
104,SHORT,2025-09-17 08:00:00+00:00,2025-09-19 15:00:00+00:00,3677.27,3669.88,0.543882,REVERSE_SIGNAL,3,3,4.0193,1.3986,2.6207
105,LONG,2025-09-19 15:00:00+00:00,2025-09-24 15:00:00+00:00,3669.88,3758.8,0.544977,REVERSE_SIGNAL,3,3,48.4594,1.417,47.0424
106,SHORT,2025-09-24 15:00:00+00:00,2025-09-26 14:00:00+00:00,3758.8,3769.85,0.532085,REVERSE_SIGNAL,3,3,-5.8795,1.4021,-7.2816
107,LONG,2025-09-26 14:00:00+00:00,2025-09-28 21:00:00+00:00,3769.85,3766.0,0.530525,REVERSE_SIGNAL,3,3,-2.0425,1.3993,-3.4418
108,SHORT,2025-09-28 21:00:00+00:00,2025-09-28 23:00:00+00:00,3766.0,3776.05,0.531067,REVERSE_SIGNAL,3,3,-5.3372,1.4019,-6.7391
109,LONG,2025-09-28 23:00:00+00:00,2025-09-30 09:00:00+00:00,3776.05,3828.01,0.529654,REVERSE_SIGNAL,2,3,27.5208,1.4096,26.1112
110,SHORT,2025-09-30 09:00:00+00:00,2025-09-30 20:00:00+00:00,3828.01,3868.55,0.522465,REVERSE_SIGNAL,2,3,-21.1807,1.4074,-22.5881
111,LONG,2025-09-30 20:00:00+00:00,2025-10-02 15:00:00+00:00,3868.55,3849.0,0.51699,REVERSE_SIGNAL,2,3,-10.1071,1.3965,-11.5036
