signal_time,signal_side,hyper_turbo,alpha_1,alpha_2_nr,votes_for,votes_total,decision
2026-02-04 15:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-02-06 05:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-02-09 01:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-02-09 16:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-02-12 16:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-02-13 17:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-02-15 23:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-02-18 13:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-02-22 03:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-02-22 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-02-24 01:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-02-25 05:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-02-28 20:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-03-01 23:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-03-02 14:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-03-06 18:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-03-08 21:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-09 19:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-03-11 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-15 22:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-03-16 09:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-20 03:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-03-20 14:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-22 18:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-03-23 00:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-23 11:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-03-26 05:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-03-27 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-03-29 22:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-03-30 03:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-04-02 01:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-04-06 04:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-04-07 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-07 19:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-04-08 18:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-09 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-04-12 01:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-13 01:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-04-15 20:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-17 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-04-18 12:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-20 01:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-04-21 06:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-24 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-04-26 22:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-27 02:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-04-27 14:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-04-30 07:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-01 07:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-01 13:00:00+00:00,LONG,LONG,SHORT,LONG,2,3,ENTER
2026-05-03 22:00:00+00:00,SHORT,SHORT,LONG,LONG,1,3,FLAT
2026-05-05 13:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-07 20:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-09 21:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-10 20:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-05-11 13:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-12 06:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-05-17 15:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-17 20:00:00+00:00,SHORT,SHORT,LONG,SHORT,2,3,ENTER
2026-05-17 22:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-18 00:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-18 12:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
2026-05-19 13:00:00+00:00,SHORT,SHORT,SHORT,SHORT,3,3,ENTER
2026-05-20 14:00:00+00:00,LONG,LONG,LONG,LONG,3,3,ENTER
