entry_time,exit_time,symbols,top_scores,beta,long_ret,btc_ret,gross,fee,net,turnover,hedge_turnover
2024-07-14 08:00,2024-07-14 12:00,XMRUSDT;TRXUSDT;ATOMUSDT;XAIUSDT;1000SATSUSDT;ARKMUSDT;AVAXUSDT;TURBOUSDT;BTCDOMUSDT;CRVUSDT,"{""1000SATSUSDT"": 1.5682, ""ARKMUSDT"": 0.842, ""ATOMUSDT"": 3.0642, ""AVAXUSDT"": 0.4218, ""BTCDOMUSDT"": 0.1552, ""CRVUSDT"": 0.0249, ""TRXUSDT"": 3.7619, ""TURBOUSDT"": 0.3156, ""XAIUSDT"": 2.8953, ""XMRUSDT"": 6.5736}",1.151808,-0.00151971,0.00079625,-24.3684,1.0538,-25.4221,2000.0,951.7825
2024-07-14 12:00,2024-07-14 16:00,XMRUSDT;TRXUSDT;LDOUSDT;ATOMUSDT;BTCDOMUSDT;AVAXUSDT;1000SATSUSDT;CRVUSDT;ARKMUSDT;TURBOUSDT,"{""1000SATSUSDT"": 0.7908, ""ARKMUSDT"": 0.1885, ""ATOMUSDT"": 3.0987, ""AVAXUSDT"": 0.8812, ""BTCDOMUSDT"": 1.0783, ""CRVUSDT"": 0.2678, ""LDOUSDT"": 3.691, ""TRXUSDT"": 3.8409, ""TURBOUSDT"": -0.4167, ""XMRUSDT"": 6.7179}",1.081665,0.00256419,-0.00042777,30.269,0.9644,29.3045,2000.0,701.4294
2024-07-14 16:00,2024-07-14 20:00,XMRUSDT;TRXUSDT;ALTUSDT;ATOMUSDT;AVAXUSDT;BTCDOMUSDT;CRVUSDT;ARKMUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.2173, ""ALTUSDT"": 3.8625, ""ARKMUSDT"": 0.6063, ""ATOMUSDT"": 2.7696, ""AVAXUSDT"": 2.1621, ""BTCDOMUSDT"": 0.8281, ""CRVUSDT"": 0.6239, ""TRXUSDT"": 4.8269, ""TURBOUSDT"": -1.7015, ""XMRUSDT"": 5.0283}",1.122461,-0.0078734,-0.00278086,-47.5199,0.8596,-48.3795,2000.0,407.9611
2024-07-14 20:00,2024-07-15 00:00,TRXUSDT;ATOMUSDT;ALTUSDT;LTCUSDT;AVAXUSDT;CRVUSDT;ARKMUSDT;BTCDOMUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.8485, ""ALTUSDT"": 3.4372, ""ARKMUSDT"": 1.193, ""ATOMUSDT"": 4.062, ""AVAXUSDT"": 1.6613, ""BTCDOMUSDT"": 0.1692, ""CRVUSDT"": 1.4632, ""LTCUSDT"": 3.3983, ""TRXUSDT"": 6.0694, ""TURBOUSDT"": -1.3265}",1.157923,0.01974102,0.0146895,27.317,0.8406,26.4764,2000.0,354.6257
2024-07-15 00:00,2024-07-15 04:00,BTCDOMUSDT;TRXUSDT;EGLDUSDT;LTCUSDT;ATOMUSDT;CRVUSDT;AVAXUSDT;ARKMUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.6607, ""ARKMUSDT"": -0.0973, ""ATOMUSDT"": 4.0266, ""AVAXUSDT"": 1.5013, ""BTCDOMUSDT"": 7.6577, ""CRVUSDT"": 3.5599, ""EGLDUSDT"": 5.1906, ""LTCUSDT"": 4.683, ""TRXUSDT"": 7.1736, ""TURBOUSDT"": -1.3222}",1.097505,0.0155384,0.03046605,-178.9824,0.9297,-179.9121,2000.0,604.185
2024-07-15 04:00,2024-07-15 08:00,TRXUSDT;EGLDUSDT;LTCUSDT;STEEMUSDT;ZILUSDT;ATOMUSDT;AVAXUSDT;ARKMUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.0691, ""ARKMUSDT"": 0.1787, ""ATOMUSDT"": 2.9873, ""AVAXUSDT"": 0.4392, ""EGLDUSDT"": 5.4431, ""LTCUSDT"": 4.7148, ""STEEMUSDT"": 3.8193, ""TRXUSDT"": 7.9303, ""TURBOUSDT"": -0.9739, ""ZILUSDT"": 3.3864}",0.846481,0.01532971,0.00317484,126.4227,2.3242,124.0985,4000.0,2510.2419
2024-07-15 08:00,2024-07-15 12:00,TRXUSDT;LTCUSDT;EGLDUSDT;STEEMUSDT;GMTUSDT;ATOMUSDT;ARKMUSDT;AVAXUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.1103, ""ARKMUSDT"": 0.4469, ""ATOMUSDT"": 3.3088, ""AVAXUSDT"": 0.4397, ""EGLDUSDT"": 6.4651, ""GMTUSDT"": 4.0554, ""LTCUSDT"": 6.514, ""STEEMUSDT"": 4.6342, ""TRXUSDT"": 6.5546, ""TURBOUSDT"": -2.9023}",0.914359,-0.01100888,-0.00611467,-54.1787,0.9563,-55.135,2000.0,678.7876
2024-07-15 12:00,2024-07-15 16:00,EGLDUSDT;LTCUSDT;TRXUSDT;STEEMUSDT;SUIUSDT;GMTUSDT;ARKMUSDT;AVAXUSDT;1000SATSUSDT;TURBOUSDT,"{""1000SATSUSDT"": -0.2485, ""ARKMUSDT"": 0.9283, ""AVAXUSDT"": 0.4432, ""EGLDUSDT"": 6.4305, ""GMTUSDT"": 2.8015, ""LTCUSDT"": 5.7259, ""STEEMUSDT"": 3.6819, ""SUIUSDT"": 3.6134, ""TRXUSDT"": 4.815, ""TURBOUSDT"": -1.828}",0.930586,0.02535926,0.00887365,171.0156,0.7719,170.2437,2000.0,162.2649
2024-07-15 16:00,2024-07-15 20:00,EGLDUSDT;TRXUSDT;STEEMUSDT;LTCUSDT;XMRUSDT;GMTUSDT;ARKMUSDT;AVAXUSDT;TURBOUSDT;1000SATSUSDT,"{""1000SATSUSDT"": -4.3369, ""ARKMUSDT"": 1.1458, ""AVAXUSDT"": 1.0898, ""EGLDUSDT"": 8.0301, ""GMTUSDT"": 3.6591, ""LTCUSDT"": 6.1791, ""STEEMUSDT"": 6.2288, ""TRXUSDT"": 7.4128, ""TURBOUSDT"": -1.7243, ""XMRUSDT"": 5.9523}",0.82508,0.01308976,0.00514241,88.4686,1.0907,87.3779,2000.0,1055.0596
2024-07-15 20:00,2024-07-16 00:00,TRXUSDT;XMRUSDT;1INCHUSDT;STEEMUSDT;EGLDUSDT;LTCUSDT;AVAXUSDT;ARKMUSDT;TURBOUSDT;1000SATSUSDT,"{""1000SATSUSDT"": -4.0355, ""1INCHUSDT"": 9.362, ""ARKMUSDT"": -2.2768, ""AVAXUSDT"": 1.4621, ""EGLDUSDT"": 8.0017, ""LTCUSDT"": 5.9785, ""STEEMUSDT"": 8.7679, ""TRXUSDT"": 11.1256, ""TURBOUSDT"": -2.5329, ""XMRUSDT"": 10.335}",0.813493,0.02906917,0.02165064,114.5652,0.7554,113.8099,2000.0,115.8703
