trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
292,BTCUSDT,2024-07-24 00:20:00+00:00,2024-07-24 01:30:00+00:00,LONG,TP,66028.4,66094.4284,0.75725,50.0,35.0,15.0,WIN,-10870.0
293,BTCUSDT,2024-07-24 16:05:00+00:00,2024-07-24 16:05:00+00:00,SHORT,TP,66183.3,66117.1167,0.755478,50.0,35.0,15.0,WIN,-10855.0
294,BTCUSDT,2024-07-24 18:35:00+00:00,2024-07-24 18:35:00+00:00,SHORT,TP,66130.0,66063.87,0.756086,50.0,35.0,15.0,WIN,-10840.0
295,BTCUSDT,2024-07-25 09:30:00+00:00,2024-07-25 14:35:00+00:00,LONG,TP,64444.1,64508.5441,0.775866,50.0,35.0,15.0,WIN,-10825.0
296,BTCUSDT,2024-07-25 14:50:00+00:00,2024-07-25 14:50:00+00:00,LONG,TP,64745.2,64809.9452,0.772258,50.0,35.0,15.0,WIN,-10810.0
297,BTCUSDT,2024-07-27 20:00:00+00:00,2024-07-27 20:00:00+00:00,SHORT,TP,68209.3,68141.0907,0.733038,50.0,35.0,15.0,WIN,-10795.0
298,BTCUSDT,2024-07-28 04:20:00+00:00,2024-07-28 04:25:00+00:00,SHORT,TP,67847.1,67779.2529,0.736951,50.0,35.0,15.0,WIN,-10780.0
299,BTCUSDT,2024-07-28 12:00:00+00:00,2024-07-28 12:20:00+00:00,LONG,TP,67800.1,67867.9001,0.737462,50.0,35.0,15.0,WIN,-10765.0
300,BTCUSDT,2024-07-29 13:50:00+00:00,2024-07-29 13:50:00+00:00,SHORT,TP,69370.0,69300.63,0.720773,50.0,35.0,15.0,WIN,-10750.0
301,BTCUSDT,2024-07-30 07:30:00+00:00,2024-07-30 07:45:00+00:00,LONG,TP,66897.3,66964.1973,0.747414,50.0,35.0,15.0,WIN,-10735.0
302,BTCUSDT,2024-07-30 12:20:00+00:00,2024-07-30 12:20:00+00:00,SHORT,TP,66493.5,66427.0065,0.751953,50.0,35.0,15.0,WIN,-10720.0
303,BTCUSDT,2024-07-30 14:00:00+00:00,2024-07-30 14:00:00+00:00,SHORT,TP,66357.3,66290.9427,0.753497,50.0,35.0,15.0,WIN,-10705.0
304,BTCUSDT,2024-07-30 22:05:00+00:00,2024-07-31 00:55:00+00:00,LONG,TP,66312.3,66378.6123,0.754008,50.0,35.0,15.0,WIN,-10690.0
305,BTCUSDT,2024-07-31 04:05:00+00:00,2024-07-31 04:10:00+00:00,SHORT,TP,65994.9,65928.9051,0.757634,50.0,35.0,15.0,WIN,-10675.0
306,BTCUSDT,2024-07-31 06:15:00+00:00,2024-07-31 07:20:00+00:00,LONG,TP,66425.8,66492.2258,0.75272,50.0,35.0,15.0,WIN,-10660.0
307,BTCUSDT,2024-07-31 15:00:00+00:00,2024-07-31 15:10:00+00:00,LONG,TP,66410.0,66476.41,0.752899,50.0,35.0,15.0,WIN,-10645.0
308,BTCUSDT,2024-07-31 19:35:00+00:00,2024-07-31 19:35:00+00:00,SHORT,TP,65793.8,65728.0062,0.75995,50.0,35.0,15.0,WIN,-10630.0
309,BTCUSDT,2024-08-01 08:50:00+00:00,2024-08-01 08:55:00+00:00,LONG,TP,64413.6,64478.0136,0.776234,50.0,35.0,15.0,WIN,-10615.0
310,BTCUSDT,2024-08-01 14:45:00+00:00,2024-08-01 14:45:00+00:00,SHORT,TP,64250.1,64185.8499,0.778209,50.0,35.0,15.0,WIN,-10600.0
311,BTCUSDT,2024-08-01 21:20:00+00:00,2024-08-01 21:20:00+00:00,LONG,TP,64777.7,64842.4777,0.771871,50.0,35.0,15.0,WIN,-10585.0
312,BTCUSDT,2024-08-02 09:40:00+00:00,2024-08-02 10:45:00+00:00,LONG,TP,64534.0,64598.534,0.774785,50.0,35.0,15.0,WIN,-10570.0
313,BTCUSDT,2024-08-02 14:55:00+00:00,2024-08-02 14:55:00+00:00,SHORT,TP,63461.9,63398.4381,0.787874,50.0,35.0,15.0,WIN,-10555.0
314,BTCUSDT,2024-08-03 07:10:00+00:00,2024-08-03 11:20:00+00:00,LONG,TP,61809.4,61871.2094,0.808938,50.0,35.0,15.0,WIN,-10540.0
315,BTCUSDT,2024-08-03 15:55:00+00:00,2024-08-03 15:55:00+00:00,SHORT,TP,61108.6,61047.4914,0.818215,50.0,35.0,15.0,WIN,-10525.0
316,BTCUSDT,2024-08-04 07:40:00+00:00,2024-08-04 07:40:00+00:00,SHORT,TP,60427.4,60366.9726,0.827439,50.0,35.0,15.0,WIN,-10510.0
317,BTCUSDT,2024-08-04 11:15:00+00:00,2024-08-04 11:15:00+00:00,LONG,TP,60790.4,60851.1904,0.822498,50.0,35.0,15.0,WIN,-10495.0
318,BTCUSDT,2024-08-04 14:20:00+00:00,2024-08-04 14:20:00+00:00,SHORT,TP,60498.5,60438.0015,0.826467,50.0,35.0,15.0,WIN,-10480.0
319,BTCUSDT,2024-08-06 00:20:00+00:00,2024-08-06 00:20:00+00:00,LONG,TP,55383.6,55438.9836,0.902794,50.0,35.0,15.0,WIN,-10465.0
320,BTCUSDT,2024-08-06 08:30:00+00:00,2024-08-06 08:30:00+00:00,SHORT,TP,55396.0,55340.604,0.902592,50.0,35.0,15.0,WIN,-10450.0
321,BTCUSDT,2024-08-06 14:25:00+00:00,2024-08-06 14:25:00+00:00,LONG,TP,56437.0,56493.437,0.885944,50.0,35.0,15.0,WIN,-10435.0
322,BTCUSDT,2024-08-06 23:35:00+00:00,2024-08-06 23:40:00+00:00,SHORT,TP,55969.7,55913.7303,0.893341,50.0,35.0,15.0,WIN,-10420.0
323,BTCUSDT,2024-08-07 02:30:00+00:00,2024-08-07 02:30:00+00:00,LONG,TP,57152.7,57209.8527,0.874849,50.0,35.0,15.0,WIN,-10405.0
324,BTCUSDT,2024-08-07 14:35:00+00:00,2024-08-07 14:35:00+00:00,SHORT,TP,55980.7,55924.7193,0.893165,50.0,35.0,15.0,WIN,-10390.0
325,BTCUSDT,2024-08-08 01:25:00+00:00,2024-08-08 01:40:00+00:00,LONG,TP,55785.8,55841.5858,0.896285,50.0,35.0,15.0,WIN,-10375.0
