trade_no,symbol,entry_time,exit_time,side,exit_reason,entry_price,exit_price,quantity,pnl_usd,fee_usd,net_pnl,result,balance_after
526,ETHUSDT,2024-10-07 18:50:00+00:00,2024-10-07 18:50:00+00:00,SHORT,TP,2427.84,2425.4122,20.594438,50.0,35.0,15.0,WIN,-12410.0
527,ETHUSDT,2024-10-08 07:30:00+00:00,2024-10-08 07:30:00+00:00,SHORT,TP,2422.61,2420.1874,20.638898,50.0,35.0,15.0,WIN,-12395.0
528,ETHUSDT,2024-10-08 12:35:00+00:00,2024-10-08 12:35:00+00:00,LONG,TP,2434.76,2437.1948,20.535905,50.0,35.0,15.0,WIN,-12380.0
529,ETHUSDT,2024-10-08 15:40:00+00:00,2024-10-08 16:00:00+00:00,SHORT,TP,2415.26,2412.8447,20.701705,50.0,35.0,15.0,WIN,-12365.0
530,ETHUSDT,2024-10-08 16:45:00+00:00,2024-10-08 18:00:00+00:00,LONG,TP,2444.35,2446.7943,20.455336,50.0,35.0,15.0,WIN,-12350.0
531,ETHUSDT,2024-10-09 01:35:00+00:00,2024-10-12 14:40:00+00:00,LONG,TP,2470.37,2472.8404,20.239883,50.0,35.0,15.0,WIN,-12335.0
532,ETHUSDT,2024-10-13 01:20:00+00:00,2024-10-13 01:20:00+00:00,SHORT,TP,2463.87,2461.4061,20.293278,50.0,35.0,15.0,WIN,-12320.0
533,ETHUSDT,2024-10-13 10:35:00+00:00,2024-10-13 22:00:00+00:00,LONG,TP,2469.34,2471.8093,20.248325,50.0,35.0,15.0,WIN,-12305.0
534,ETHUSDT,2024-10-14 02:45:00+00:00,2024-10-14 02:50:00+00:00,SHORT,TP,2449.59,2447.1404,20.411579,50.0,35.0,15.0,WIN,-12290.0
535,ETHUSDT,2024-10-14 03:25:00+00:00,2024-10-14 03:25:00+00:00,LONG,TP,2473.14,2475.6131,20.217214,50.0,35.0,15.0,WIN,-12275.0
536,ETHUSDT,2024-10-15 04:10:00+00:00,2024-10-15 05:25:00+00:00,SHORT,TP,2606.05,2603.444,19.186125,50.0,35.0,15.0,WIN,-12260.0
537,ETHUSDT,2024-10-15 13:55:00+00:00,2024-10-15 13:55:00+00:00,LONG,TP,2649.26,2651.9093,18.873195,50.0,35.0,15.0,WIN,-12245.0
538,ETHUSDT,2024-10-15 14:45:00+00:00,2024-10-15 14:45:00+00:00,SHORT,TP,2571.09,2568.5189,19.447005,50.0,35.0,15.0,WIN,-12230.0
539,ETHUSDT,2024-10-16 11:45:00+00:00,2024-10-16 11:45:00+00:00,LONG,TP,2623.48,2626.1035,19.058655,50.0,35.0,15.0,WIN,-12215.0
540,ETHUSDT,2024-10-16 16:30:00+00:00,2024-10-16 16:30:00+00:00,SHORT,TP,2602.93,2600.3271,19.209122,50.0,35.0,15.0,WIN,-12200.0
541,ETHUSDT,2024-10-17 02:00:00+00:00,2024-10-17 03:45:00+00:00,LONG,TP,2642.01,2644.652,18.924985,50.0,35.0,15.0,WIN,-12185.0
542,ETHUSDT,2024-10-17 09:10:00+00:00,2024-10-17 09:25:00+00:00,SHORT,TP,2621.56,2618.9384,19.072613,50.0,35.0,15.0,WIN,-12170.0
543,ETHUSDT,2024-10-17 16:00:00+00:00,2024-10-18 01:45:00+00:00,LONG,TP,2630.29,2632.9203,19.009311,50.0,35.0,15.0,WIN,-12155.0
544,ETHUSDT,2024-10-18 13:05:00+00:00,2024-10-18 13:30:00+00:00,SHORT,TP,2618.79,2616.1712,19.092787,50.0,35.0,15.0,WIN,-12140.0
545,ETHUSDT,2024-10-18 15:35:00+00:00,2024-10-18 15:40:00+00:00,LONG,TP,2648.15,2650.7981,18.881106,50.0,35.0,15.0,WIN,-12125.0
546,ETHUSDT,2024-10-18 22:40:00+00:00,2024-10-19 11:50:00+00:00,SHORT,TP,2634.8,2632.1652,18.976772,50.0,35.0,15.0,WIN,-12110.0
547,ETHUSDT,2024-10-19 14:55:00+00:00,2024-10-19 14:55:00+00:00,LONG,TP,2646.92,2649.5669,18.88988,50.0,35.0,15.0,WIN,-12095.0
548,ETHUSDT,2024-10-19 22:50:00+00:00,2024-10-19 23:20:00+00:00,LONG,TP,2650.14,2652.7901,18.866928,50.0,35.0,15.0,WIN,-12080.0
549,ETHUSDT,2024-10-20 02:50:00+00:00,2024-10-20 03:05:00+00:00,SHORT,TP,2638.01,2635.372,18.953681,50.0,35.0,15.0,WIN,-12065.0
550,ETHUSDT,2024-10-20 08:15:00+00:00,2024-10-20 12:00:00+00:00,LONG,TP,2648.63,2651.2786,18.877684,50.0,35.0,15.0,WIN,-12050.0
551,ETHUSDT,2024-10-22 00:20:00+00:00,2024-10-22 00:25:00+00:00,SHORT,TP,2661.33,2658.6687,18.787599,50.0,35.0,15.0,WIN,-12035.0
552,ETHUSDT,2024-10-22 07:45:00+00:00,2024-10-25 23:20:00+00:00,LONG,SL,2655.44,2389.896,18.829271,-5000.0,35.0,-5035.0,LOSS,-17070.0
553,ETHUSDT,2024-10-26 06:20:00+00:00,2024-10-26 06:25:00+00:00,LONG,TP,2466.47,2468.9365,20.271887,50.0,35.0,15.0,WIN,-17055.0
554,ETHUSDT,2024-10-26 14:05:00+00:00,2024-10-26 14:15:00+00:00,SHORT,TP,2463.62,2461.1564,20.295338,50.0,35.0,15.0,WIN,-17040.0
555,ETHUSDT,2024-10-26 17:50:00+00:00,2024-10-26 18:00:00+00:00,LONG,TP,2478.48,2480.9585,20.173655,50.0,35.0,15.0,WIN,-17025.0
556,ETHUSDT,2024-10-27 01:25:00+00:00,2024-10-27 09:10:00+00:00,SHORT,TP,2470.34,2467.8697,20.240129,50.0,35.0,15.0,WIN,-17010.0
557,ETHUSDT,2024-10-27 09:20:00+00:00,2024-10-27 09:30:00+00:00,SHORT,TP,2468.51,2466.0415,20.255134,50.0,35.0,15.0,WIN,-16995.0
558,ETHUSDT,2024-10-27 13:30:00+00:00,2024-10-27 13:30:00+00:00,LONG,TP,2496.6,2499.0966,20.027237,50.0,35.0,15.0,WIN,-16980.0
559,ETHUSDT,2024-10-28 03:40:00+00:00,2024-10-28 03:40:00+00:00,SHORT,TP,2483.01,2480.527,20.13685,50.0,35.0,15.0,WIN,-16965.0
560,ETHUSDT,2024-10-28 07:25:00+00:00,2024-10-28 07:30:00+00:00,LONG,TP,2522.79,2525.3128,19.819327,50.0,35.0,15.0,WIN,-16950.0
561,ETHUSDT,2024-10-28 16:00:00+00:00,2024-10-28 16:00:00+00:00,SHORT,TP,2500.29,2497.7897,19.99768,50.0,35.0,15.0,WIN,-16935.0
562,ETHUSDT,2024-10-28 21:40:00+00:00,2024-10-28 21:40:00+00:00,LONG,TP,2537.38,2539.9174,19.705365,50.0,35.0,15.0,WIN,-16920.0
563,ETHUSDT,2024-10-30 03:20:00+00:00,2024-10-30 03:40:00+00:00,LONG,TP,2639.81,2642.4498,18.940757,50.0,35.0,15.0,WIN,-16905.0
564,ETHUSDT,2024-11-01 18:20:00+00:00,2024-11-01 18:50:00+00:00,SHORT,TP,2512.06,2509.5479,19.903983,50.0,35.0,15.0,WIN,-16890.0
565,ETHUSDT,2024-11-02 02:20:00+00:00,2024-11-02 02:20:00+00:00,LONG,TP,2518.44,2520.9584,19.85356,50.0,35.0,15.0,WIN,-16875.0
566,ETHUSDT,2024-11-02 21:00:00+00:00,2024-11-02 22:05:00+00:00,LONG,TP,2494.89,2497.3849,20.040964,50.0,35.0,15.0,WIN,-16860.0
567,ETHUSDT,2024-11-03 02:00:00+00:00,2024-11-03 02:00:00+00:00,SHORT,TP,2471.71,2469.2383,20.22891,50.0,35.0,15.0,WIN,-16845.0
568,ETHUSDT,2024-11-03 12:30:00+00:00,2024-11-03 20:30:00+00:00,LONG,TP,2459.02,2461.479,20.333304,50.0,35.0,15.0,WIN,-16830.0
569,ETHUSDT,2024-11-03 20:40:00+00:00,2024-11-03 20:45:00+00:00,LONG,TP,2463.25,2465.7132,20.298386,50.0,35.0,15.0,WIN,-16815.0
570,ETHUSDT,2024-11-04 00:50:00+00:00,2024-11-04 15:35:00+00:00,SHORT,TP,2438.32,2435.8817,20.505922,50.0,35.0,15.0,WIN,-16800.0
571,ETHUSDT,2024-11-05 04:35:00+00:00,2024-11-05 04:40:00+00:00,LONG,TP,2424.69,2427.1147,20.621193,50.0,35.0,15.0,WIN,-16785.0
572,ETHUSDT,2024-11-05 20:00:00+00:00,2024-11-05 20:00:00+00:00,SHORT,TP,2407.3,2404.8927,20.770157,50.0,35.0,15.0,WIN,-16770.0
573,ETHUSDT,2024-11-06 00:50:00+00:00,2024-11-06 00:50:00+00:00,LONG,TP,2488.18,2490.6682,20.095009,50.0,35.0,15.0,WIN,-16755.0
574,ETHUSDT,2024-11-07 16:05:00+00:00,2024-11-07 16:30:00+00:00,LONG,TP,2838.78,2841.6188,17.6132,50.0,35.0,15.0,WIN,-16740.0
575,ETHUSDT,2024-11-09 16:40:00+00:00,2024-11-09 16:40:00+00:00,SHORT,TP,3030.5,3027.4695,16.498928,50.0,35.0,15.0,WIN,-16725.0
576,ETHUSDT,2024-11-09 19:15:00+00:00,2024-11-09 19:15:00+00:00,LONG,TP,3075.13,3078.2051,16.259475,50.0,35.0,15.0,WIN,-16710.0
577,ETHUSDT,2024-11-10 20:00:00+00:00,2024-11-10 20:00:00+00:00,SHORT,TP,3164.99,3161.825,15.797838,50.0,35.0,15.0,WIN,-16695.0
578,ETHUSDT,2024-11-11 05:25:00+00:00,2024-11-11 05:25:00+00:00,SHORT,TP,3154.39,3151.2356,15.850925,50.0,35.0,15.0,WIN,-16680.0
579,ETHUSDT,2024-11-11 11:35:00+00:00,2024-11-11 12:10:00+00:00,LONG,TP,3205.99,3209.196,15.595807,50.0,35.0,15.0,WIN,-16665.0
580,ETHUSDT,2024-11-12 07:25:00+00:00,2024-11-12 08:00:00+00:00,LONG,TP,3375.41,3378.7854,14.813015,50.0,35.0,15.0,WIN,-16650.0
581,ETHUSDT,2024-11-12 10:50:00+00:00,2024-11-12 10:50:00+00:00,SHORT,TP,3235.66,3232.4243,15.452798,50.0,35.0,15.0,WIN,-16635.0
582,ETHUSDT,2024-11-12 19:50:00+00:00,2024-11-12 20:40:00+00:00,LONG,TP,3290.0,3293.29,15.197568,50.0,35.0,15.0,WIN,-16620.0
583,ETHUSDT,2024-11-13 02:20:00+00:00,2024-11-13 02:20:00+00:00,SHORT,TP,3229.66,3226.4303,15.481506,50.0,35.0,15.0,WIN,-16605.0
584,ETHUSDT,2024-11-13 20:55:00+00:00,2024-11-13 20:55:00+00:00,SHORT,TP,3173.97,3170.796,15.753142,50.0,35.0,15.0,WIN,-16590.0
585,ETHUSDT,2024-11-14 02:55:00+00:00,2024-11-14 02:55:00+00:00,LONG,TP,3210.0,3213.21,15.576324,50.0,35.0,15.0,WIN,-16575.0
586,ETHUSDT,2024-11-14 11:05:00+00:00,2024-11-14 11:05:00+00:00,SHORT,TP,3167.74,3164.5723,15.784124,50.0,35.0,15.0,WIN,-16560.0
587,ETHUSDT,2024-11-14 23:25:00+00:00,2024-11-14 23:25:00+00:00,SHORT,TP,3062.01,3058.948,16.329143,50.0,35.0,15.0,WIN,-16545.0
588,ETHUSDT,2024-11-15 09:20:00+00:00,2024-11-15 09:20:00+00:00,LONG,TP,3091.62,3094.7116,16.172751,50.0,35.0,15.0,WIN,-16530.0
589,ETHUSDT,2024-11-15 15:45:00+00:00,2024-11-21 13:05:00+00:00,SHORT,SL,3019.86,3321.846,16.557059,-5000.0,35.0,-5035.0,LOSS,-21565.0
590,ETHUSDT,2024-11-22 01:05:00+00:00,2024-11-22 13:20:00+00:00,SHORT,TP,3309.76,3306.4502,15.106836,50.0,35.0,15.0,WIN,-21550.0
591,ETHUSDT,2024-11-23 00:35:00+00:00,2024-11-23 00:40:00+00:00,LONG,TP,3348.18,3351.5282,14.933486,50.0,35.0,15.0,WIN,-21535.0
592,ETHUSDT,2024-11-23 20:30:00+00:00,2024-11-24 10:40:00+00:00,SHORT,TP,3384.31,3380.9257,14.77406,50.0,35.0,15.0,WIN,-21520.0
593,ETHUSDT,2024-11-24 20:05:00+00:00,2024-11-24 20:10:00+00:00,LONG,TP,3332.2,3335.5322,15.005102,50.0,35.0,15.0,WIN,-21505.0
594,ETHUSDT,2024-11-25 17:25:00+00:00,2024-11-25 17:40:00+00:00,SHORT,TP,3434.93,3431.4951,14.556337,50.0,35.0,15.0,WIN,-21490.0
595,ETHUSDT,2024-11-25 20:35:00+00:00,2024-11-25 20:35:00+00:00,LONG,TP,3493.34,3496.8333,14.31295,50.0,35.0,15.0,WIN,-21475.0
596,ETHUSDT,2024-11-25 22:40:00+00:00,2024-11-26 08:15:00+00:00,SHORT,TP,3379.99,3376.61,14.792943,50.0,35.0,15.0,WIN,-21460.0
597,ETHUSDT,2024-11-28 03:35:00+00:00,2024-11-28 03:35:00+00:00,SHORT,TP,3583.29,3579.7067,13.953657,50.0,35.0,15.0,WIN,-21445.0
598,ETHUSDT,2024-11-28 10:40:00+00:00,2024-11-28 11:40:00+00:00,LONG,TP,3619.52,3623.1395,13.813986,50.0,35.0,15.0,WIN,-21430.0
599,ETHUSDT,2024-11-28 14:25:00+00:00,2024-11-28 14:25:00+00:00,SHORT,TP,3558.81,3555.2512,14.04964,50.0,35.0,15.0,WIN,-21415.0
600,ETHUSDT,2024-11-28 22:25:00+00:00,2024-11-28 23:30:00+00:00,LONG,TP,3595.69,3599.2857,13.905537,50.0,35.0,15.0,WIN,-21400.0
601,ETHUSDT,2024-11-29 01:50:00+00:00,2024-11-29 07:15:00+00:00,SHORT,TP,3560.54,3556.9795,14.042814,50.0,35.0,15.0,WIN,-21385.0
602,ETHUSDT,2024-11-29 11:45:00+00:00,2024-11-29 11:45:00+00:00,LONG,TP,3593.36,3596.9534,13.914554,50.0,35.0,15.0,WIN,-21370.0
603,ETHUSDT,2024-11-29 18:55:00+00:00,2024-11-29 18:55:00+00:00,SHORT,TP,3576.34,3572.7637,13.980774,50.0,35.0,15.0,WIN,-21355.0
604,ETHUSDT,2024-11-30 00:30:00+00:00,2024-11-30 01:40:00+00:00,LONG,TP,3607.64,3611.2476,13.859476,50.0,35.0,15.0,WIN,-21340.0
605,ETHUSDT,2024-12-01 02:55:00+00:00,2024-12-01 02:55:00+00:00,SHORT,TP,3672.59,3668.9174,13.61437,50.0,35.0,15.0,WIN,-21325.0
606,ETHUSDT,2024-12-01 08:15:00+00:00,2024-12-01 08:25:00+00:00,LONG,TP,3715.26,3718.9753,13.458008,50.0,35.0,15.0,WIN,-21310.0
607,ETHUSDT,2024-12-01 11:05:00+00:00,2024-12-01 11:10:00+00:00,SHORT,TP,3691.0,3687.309,13.546464,50.0,35.0,15.0,WIN,-21295.0
608,ETHUSDT,2024-12-01 15:40:00+00:00,2024-12-01 15:40:00+00:00,LONG,TP,3741.2,3744.9412,13.364696,50.0,35.0,15.0,WIN,-21280.0
609,ETHUSDT,2024-12-01 20:45:00+00:00,2024-12-02 03:55:00+00:00,SHORT,TP,3688.54,3684.8515,13.555499,50.0,35.0,15.0,WIN,-21265.0
610,ETHUSDT,2024-12-02 04:15:00+00:00,2024-12-02 04:15:00+00:00,SHORT,TP,3666.41,3662.7436,13.637318,50.0,35.0,15.0,WIN,-21250.0
611,ETHUSDT,2024-12-02 15:30:00+00:00,2024-12-02 15:40:00+00:00,LONG,TP,3669.28,3672.9493,13.626652,50.0,35.0,15.0,WIN,-21235.0
612,ETHUSDT,2024-12-03 00:00:00+00:00,2024-12-03 01:10:00+00:00,LONG,TP,3646.26,3649.9063,13.712681,50.0,35.0,15.0,WIN,-21220.0
613,ETHUSDT,2024-12-03 07:15:00+00:00,2024-12-03 07:15:00+00:00,SHORT,TP,3631.8,3628.1682,13.767278,50.0,35.0,15.0,WIN,-21205.0
614,ETHUSDT,2024-12-03 20:50:00+00:00,2024-12-03 20:50:00+00:00,LONG,TP,3596.93,3600.5269,13.900743,50.0,35.0,15.0,WIN,-21190.0
615,ETHUSDT,2024-12-05 01:15:00+00:00,2024-12-05 01:20:00+00:00,SHORT,TP,3776.41,3772.6336,13.240088,50.0,35.0,15.0,WIN,-21175.0
616,ETHUSDT,2024-12-05 15:45:00+00:00,2024-12-05 15:50:00+00:00,SHORT,TP,3881.18,3877.2988,12.88268,50.0,35.0,15.0,WIN,-21160.0
617,ETHUSDT,2024-12-06 03:00:00+00:00,2024-12-06 03:30:00+00:00,LONG,TP,3880.0,3883.88,12.886598,50.0,35.0,15.0,WIN,-21145.0
618,ETHUSDT,2024-12-06 11:00:00+00:00,2024-12-06 11:00:00+00:00,SHORT,TP,3867.0,3863.133,12.92992,50.0,35.0,15.0,WIN,-21130.0
619,ETHUSDT,2024-12-06 14:50:00+00:00,2024-12-06 14:50:00+00:00,LONG,TP,3937.48,3941.4175,12.698477,50.0,35.0,15.0,WIN,-21115.0
620,ETHUSDT,2024-12-07 01:25:00+00:00,2024-12-07 01:25:00+00:00,SHORT,TP,3995.26,3991.2647,12.51483,50.0,35.0,15.0,WIN,-21100.0
621,ETHUSDT,2024-12-07 21:05:00+00:00,2024-12-09 21:00:00+00:00,LONG,SL,4023.74,3621.366,12.42625,-5000.0,35.0,-5035.0,LOSS,-26135.0
622,ETHUSDT,2024-12-10 09:25:00+00:00,2024-12-10 09:25:00+00:00,LONG,TP,3750.85,3754.6008,13.330312,50.0,35.0,15.0,WIN,-26120.0
